constituent_tasks,tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T1-T2-T4-T5,T1-T2-T4-T5,34.03% (-5.08) L***,34.07% (-5.04) L***,35.46% (-3.65) L***,20.51% (+0.67) S**,19.92% (+0.08) S*,20.56% (+0.72) S**
T1-T2-T4-T5,T1-T2-T5-T4,35.09% (-4.02) L***,35.79% (-3.32) L***,36.31% (-2.8) S***,20.96% (+1.12) S***,20.36% (+0.52) S*,21.11% (+1.27) S***
T1-T2-T4-T5,T1-T4-T2-T5,34.17% (-4.94) L***,34.92% (-4.19) L***,35.77% (-3.34) L***,19.58% (-0.26) S*,19.14% (-0.7) S*,20.51% (+0.67) S**
T1-T2-T4-T5,T1-T4-T5-T2,35.96% (-3.15) L***,37.97% (-1.14) S***,38.15% (-0.96) S*,20.7% (+0.86) S***,20.98% (+1.14) S*,20.28% (+0.44) S*
T1-T2-T4-T5,T1-T5-T2-T4,36.99% (-2.12) S**,37.62% (-1.49) S**,35.7% (-3.41) M***,21.59% (+1.75) M***,20.98% (+1.14) S*,21.99% (+2.15) L***
T1-T2-T4-T5,T1-T5-T4-T2,38.48% (-0.63) S*,37.87% (-1.24) S***,37.68% (-1.43) S*,21.46% (+1.62) S***,20.69% (+0.85) S*,20.86% (+1.02) S**
T1-T2-T4-T5,T2-T1-T4-T5,34.34% (-4.77) L***,34.07% (-5.04) L***,35.46% (-3.65) L***,20.53% (+0.69) S*,19.92% (+0.08) S*,20.56% (+0.72) S**
T1-T2-T4-T5,T2-T1-T5-T4,35.99% (-3.12) M***,35.79% (-3.32) L***,36.31% (-2.8) S***,20.86% (+1.02) S**,20.36% (+0.52) S*,21.11% (+1.27) S***
T1-T2-T4-T5,T2-T4-T1-T5,35.54% (-3.57) L***,34.9% (-4.21) L***,35.22% (-3.89) L***,20.02% (+0.18) S*,19.0% (-0.84) M***,19.85% (+0.01) S*
T1-T2-T4-T5,T2-T4-T5-T1,37.78% (-1.33) S*,38.94% (-0.17) S*,37.26% (-1.85) S**,19.97% (+0.13) S*,19.75% (-0.09) S*,20.76% (+0.92) S**
T1-T2-T4-T5,T2-T5-T1-T4,38.17% (-0.94) S*,38.9% (-0.21) S*,36.61% (-2.5) S***,21.45% (+1.61) M***,21.29% (+1.45) S*,21.09% (+1.25) S***
T1-T2-T4-T5,T2-T5-T4-T1,39.83% (+0.72) S***,40.27% (+1.16) S*,38.46% (-0.65) S*,20.76% (+0.92) S*,20.57% (+0.73) S*,21.23% (+1.39) S***
T1-T2-T4-T5,T4-T1-T2-T5,33.94% (-5.17) L***,34.92% (-4.19) L***,35.77% (-3.34) M***,19.02% (-0.82) S*,19.14% (-0.7) S***,20.51% (+0.67) S*
T1-T2-T4-T5,T4-T1-T5-T2,38.76% (-0.35) S*,37.97% (-1.14) S*,38.15% (-0.96) S*,20.56% (+0.72) S*,20.98% (+1.14) S*,20.28% (+0.44) S*
T1-T2-T4-T5,T4-T2-T1-T5,34.12% (-4.99) L***,34.9% (-4.21) L***,35.22% (-3.89) L***,20.44% (+0.6) M***,19.0% (-0.84) S***,19.85% (+0.01) S*
T1-T2-T4-T5,T4-T2-T5-T1,40.1% (+0.99) S***,38.94% (-0.17) S*,37.26% (-1.85) S*,20.7% (+0.86) S**,19.75% (-0.09) S**,20.76% (+0.92) S***
T1-T2-T4-T5,T4-T5-T1-T2,41.28% (+2.17) M***,39.16% (+0.05) S*,40.23% (+1.12) M***,20.59% (+0.75) S**,19.98% (+0.14) S*,21.15% (+1.31) M***
T1-T2-T4-T5,T4-T5-T2-T1,40.73% (+1.62) M***,42.12% (+3.01) M***,41.87% (+2.76) L***,20.51% (+0.67) S*,20.13% (+0.29) S*,20.52% (+0.68) S*
T1-T2-T4-T5,T5-T1-T2-T4,37.24% (-1.87) S*,37.62% (-1.49) S***,35.7% (-3.41) L***,21.52% (+1.68) M***,20.98% (+1.14) S*,21.99% (+2.15) M***
T1-T2-T4-T5,T5-T1-T4-T2,39.48% (+0.37) S*,37.87% (-1.24) S***,37.68% (-1.43) S*,21.44% (+1.6) S**,20.69% (+0.85) S*,20.86% (+1.02) M***
T1-T2-T4-T5,T5-T2-T1-T4,38.68% (-0.43) S*,38.9% (-0.21) S*,36.61% (-2.5) M***,21.43% (+1.59) M***,21.29% (+1.45) S**,21.09% (+1.25) S***
T1-T2-T4-T5,T5-T2-T4-T1,40.1% (+0.99) M***,40.27% (+1.16) S**,38.46% (-0.65) S*,20.7% (+0.86) S***,20.57% (+0.73) S*,21.23% (+1.39) M***
T1-T2-T4-T5,T5-T4-T1-T2,40.39% (+1.28) S***,39.16% (+0.05) S*,40.23% (+1.12) M***,20.56% (+0.72) S*,19.98% (+0.14) S*,21.15% (+1.31) M***
T1-T2-T4-T5,T5-T4-T2-T1,41.05% (+1.94) M***,42.12% (+3.01) L***,41.87% (+2.76) L***,20.78% (+0.94) S*,20.13% (+0.29) S*,20.52% (+0.68) S*
